skill	*Id	charclass	skilldesc	srvstfunc	srvdofunc	srvstopfunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	useServerMissilesOnRemoteClients	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	passivestate	passiveitype	passivereqweaponcount	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passivestat6	passivecalc6	passivestat7	passivecalc7	passivestat8	passivecalc8	passivestat9	passivecalc9	passivestat10	passivecalc10	passivestat11	passivecalc11	passivestat12	passivecalc12	passivestat13	passivecalc13	passivestat14	passivecalc14	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltstopfunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	KeepCursorStateOnKill	ContinueCastUnselected	ClearSelectedOnHold	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemUseRestrict	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	localdelay	globaldelay	leftskill	rightskill	repeat	alwayshit	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	prgchargestocast	prgchargesconsumed	passive	progressive	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	calc5	*calc5 desc	calc6	*calc6 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	Param9	*Param9 Description	Param10	*Param10 Description2	Param11	*Param11 Description	Param12	*Param12 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add	*eol
Stun Poison Nova Mon Uber	951														stunpoisonnova																																																																																																			stunpoisonnova													1	0		none												A1	A1	A1																	1			1										30	20														1	1					1	7	12	1																																																1								7															pois	1						2						(ulvl/(1+5/ulvl))*(1+ulvl/50)*50	10									0
Poison Nova Simple Mon Uber	952														poisonnovasimplemonuber																																																																																																			poisonnovasimplemonuber													1	0		none												A1	A1	A1																	1			1										30	20														1	1					1	7	12	1																																																1								5															pois	1						2						(ulvl/(1+5/ulvl))*(1+ulvl/50)*50	150									0
Increasing Power Two Mon Uber	953				68													increasingpowermonuber						maul		100		skillcontrol	stat('skillcontrol'.accr)+1	damagepercent	stat('skillcontrol'.accr)*20	attackrate	stat('skillcontrol'.accr)*10	item_crushingblow	stat('skillcontrol'.accr)*10	velocitypercent	stat('skillcontrol'.accr)*5	item_deadlystrike	stat('skillcontrol'.accr)*10																																																																						25						increasingpowermonuber												1	9		none												SC	SC	A1																	1			1			1							6	20								1						1	1					1	8	15	0		1																																														1								8																																						0
Crush Skull Mon Uber	954			6	11													crushskullmonuber	crushskullmonuber								min(10,(2+stat('skillcontrol'.accr)))																																																																																		19						crushskullmonuber	crushskullmonuber											1	8		none												A1	A1	A1															1		1													24	20														1	1					1	8	5	1												1																																				1								8	64														stun														25									0
Fists of Fire Mon Uber	955			23	35		1	40	40	40	5+lvl/2							fistsoffirenovamonuber	fistsoffirefurymonuber	fistsoffireflowermonuber				progressive_fire		(stat('item_chargeupduration'.accr)>0)?100:par3		progressive_fire		progressive_tohit	par4																																																																																14	14	14		fistsoffirenovamonuber	fistsoffirefurymonuber	fistsoffireflowermonuber										1	0		h2h	3	h2h										SQ	A1	A1	16			1		1	1								1		1			1										6	20														1	1					1	7	2	1										1		5+lvl/2	# of fire bolts					(((skill('Mosaic Repeat Chance'.lvl)>0)*(stat('randomgenerator'.accr)>800))>0)?1:2						5	Radius of explosion	8	Radius of firewall fragments	4500	duration	50	tohit bonus for each charge-up					5	fire duration synergy	7	dmg synergy									1	20		lvl*20					8															fire	4						8						(ulvl/(1+5/ulvl))*(1+ulvl/50)*50						4				0
Dragon Talon Mon Uber	956			39	1																			skilldamagestate		100		passive_fire_mastery	ln34+skill('Fade'.blvl)	passive_cold_mastery	ln34+skill('Fade'.blvl)	passive_ltng_mastery	ln34+skill('Fade'.blvl)	damagepercent	ln56+skill('Shade Armor'.blvl)*par8	item_pierce_pois	skill('Venom'.blvl)*par7	attackrate	skill('Quickness'.blvl)																																																																																								1	0		h2h	4	mele										KK	KK	A1				1		1	1								1		1													18	20														1	1		1			1	7	4	1						1	0	3				ln12		125										25	base damage	5	damage per level	10	elemental damage bonus	1	elemental damage bonus per level	40	physical damage bonus	5	physical damage bonus per level	2	pierce pois synergy	5	phys damage synergy									1							1	8	128																																	4				0
Elemental Fury Mon Uber	957														elementalfurymonuber																																																																																																			elementalfurymonuber													1	0		none												A1	A1	A1																	1			1										30	20														1	1					1	7	12	1																																																1								8															fire	2						3						(ulvl/(1+5/ulvl))*(1+ulvl/50)*50										0
Elemental Fury Mon Uber Cold	958														elementalfurymonuber																																																																																																			elementalfurymonuber													1	0		none												A1	A1	A1																	1			1										30	20														1	1					1	7	12	1																																																1								8															cold	2						3						(ulvl/(1+5/ulvl))*(1+ulvl/50)*50										0
Elemental Fury Mon Uber Lightning	959														elementalfurymonuber																																																																																																			elementalfurymonuber													1	0		none												A1	A1	A1																	1			1										30	20														1	1					1	7	12	1																																																1								8															ltng	2						3						(ulvl/(1+5/ulvl))*(1+ulvl/50)*50										0
Varying Elemental Damage Mon Uber	960				65																		73731	resistall	resistall			passive_fire_mastery	rand(0,300)	passive_cold_mastery	rand(0,300)	passive_ltng_mastery	rand(0,300)																																																																																													1	1	8		none														xx																	1													30	20								1						0	1					0	8	0	0		1	1		5																																											1								8																																						0
Chain Lightning Mon Uber	961				26													chainlightningmonuber	chainlightningmonuber	chainlightningmonuber							par1																																																																			sorceress_cast_lightning											light_cast_1				27						chainlightningmonuber	chainlightningmonuber	chainlightningmonuber										1	2		none												SC	SC	SC				1													1			151	96		4				sorceress_cast_lightning			24	20														1	1					1	8	9	1												15	# hits											20	radius of jump to next target			26	bolts (5ths)	3	bolts per level (5ths)	5	5ths					5	damage synergy									1								8															ltng	1						2						(ulvl/(1+5/ulvl))*(1+ulvl/50)*50										0
Lower Resist Mon Uber	962				30																		3		lowerresist	50	5	velocitypercent	-100	manarecoverybonus	-5000	fireresist	-50	coldresist	-50	lightresist	-50																																																									beholder_cast_2														18	30					paralyze		cursecast											1	9		none												SC	SC	SC					4												1			1																																																										2	radius	0	radius per level	60	duration	3	additional duration/level	50	% -dam resist															1								8																																						0
Increasing Debuff Mon Uber	963				28													increasingdebuffmonuber					3		battlecry	50		skillcontrol	stat('skillcontrol'.accr)+10	normal_damage_reduction	-stat('skillcontrol'.accr)/5																																																																														28						increasingdebuffmonuber												1	9		none												SC	SC	A1																	1			1										6	20								1						1	1					1	8	15	0		1																																														1								8																																						0
Fan of Knives Mon Uber	964				8													fanofknivesmonuber																																																																																											17						fanofknivesmonuber												1	0		none												A1	A1	A1				1													1			1										30	20														1	1					1	7	12	1												5																																				1								8	32																																					0
